파일	테이블명
DW_D_FE_MK_PRMTN_ORD_TEMP_01.sql	we_mt_ofr
DW_D_FE_MK_PRMTN_ORD_TEMP_01.sql	we_od_claim
DW_D_FE_MK_PRMTN_ORD_TEMP_01.sql	we_od_ord
DW_D_FE_MK_PRMTN_ORD_TEMP_01.sql	we_od_ord_dscnt
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	d_intg_memb
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	d_lgpromo
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	d_memb
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	d_prmtn
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	fl_mk_lgpromo_actrslt
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	fl_mk_lgpromo_chng_temp
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	fl_mk_prmtn_actrslt
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	fl_mk_prmtn_exch_chng_temp
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	fl_mk_prmtn_exch_sl
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	fl_sl_prod_sl
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	temp_lgpromo_actrslt_01
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	wl_sl_pspt_rcgnt_no
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	wl_sl_str_info
DW_D_FL_MK_LGPROMO_ACTRSLT_01.sql	wl_z_camp_cell_cust
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	d_intg_memb
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	d_lgpromo
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	d_memb
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	d_midpromo
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	d_prmtn
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	fl_mk_midpromo_actrslt
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	fl_mk_midpromo_chng_temp
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	fl_mk_prmtn_actrslt
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	fl_mk_prmtn_exch_chng_temp
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	fl_mk_prmtn_exch_sl
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	fl_sl_prod_sl
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	temp_midpromo_actrslt_01
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	wl_sl_pspt_rcgnt_no
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	wl_sl_str_info
DW_D_FL_MK_MIDPROMO_ACTRSLT_01.sql	wl_z_camp_cell_cust
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	d_intg_memb
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	d_ldfp
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	d_lgpromo
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	d_memb
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	d_prmtn
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	fl_mk_ldfp_acmlt_use_ptcls
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	fl_mk_prmtn_actrslt
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	fl_mk_prmtn_exch_chng_temp
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	fl_mk_prmtn_exch_sl
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	fl_mk_prmtn_fgf_prestat_dtl
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	fl_sl_prod_sl
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	temp_ofln_prmtn_chng
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	temp_prmtn_actrslt_01
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	temp_prmtn_actrslt_02
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	temp_prmtn_actrslt_03
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	temp_prmtn_actrslt_04
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	temp_prmtn_actrslt_05
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	wl_lc_prmtn_offer_sect
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	wl_lc_prmtn_offer_sect_ldfp
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	wl_lp_ldfp_no_acmlt_use_cap_mgt
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	wl_mk_fgf_basic_info
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	wl_mk_prmtn_fgf_prestat
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	wl_mk_prmtn_fgf_prestat_dtl
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	wl_sl_pspt_rcgnt_no
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	wl_sl_sale_hdr_dc
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	wl_sl_str_info
DW_D_FL_MK_PRMTN_ACTRSLT_01.sql	wl_z_camp_cell_cust
DW_D_FL_MK_PRMTN_EXCH_CHNG_TEMP_01.sql	d_intg_memb
DW_D_FL_MK_PRMTN_EXCH_CHNG_TEMP_01.sql	d_prmtn
DW_D_FL_MK_PRMTN_EXCH_CHNG_TEMP_01.sql	fl_mk_ldfp_acmlt_use_ptcls
DW_D_FL_MK_PRMTN_EXCH_CHNG_TEMP_01.sql	fl_mk_prmtn_exch_chng_temp
DW_D_FL_MK_PRMTN_EXCH_CHNG_TEMP_01.sql	fl_sl_exch_sl
DW_D_FL_MK_PRMTN_EXCH_CHNG_TEMP_01.sql	wl_mk_prmtn_fgf_prestat
DW_D_FL_MK_PRMTN_EXCH_CHNG_TEMP_01.sql	wl_mk_prmtn_fgf_prestat_dtl
DW_D_FL_MK_PRMTN_EXCH_CHNG_TEMP_01.sql	wl_mk_prmtn_fgf_prestat_exch
DW_D_FL_MK_PRMTN_EXCH_CHNG_TEMP_01.sql	wl_sl_imgn_cust_info
DW_D_FL_MK_PRMTN_EXCH_CHNG_TEMP_01.sql	wl_sl_sale_hdr
DW_D_FL_MK_PRMTN_EXCH_CHNG_TEMP_01.sql	wl_sl_sale_hdr_dc
DW_D_FL_MK_PRMTN_EXCH_SL_01.sql	d_intg_memb
DW_D_FL_MK_PRMTN_EXCH_SL_01.sql	d_prmtn
DW_D_FL_MK_PRMTN_EXCH_SL_01.sql	fl_mk_ldfp_acmlt_use_ptcls
DW_D_FL_MK_PRMTN_EXCH_SL_01.sql	fl_mk_prmtn_exch_chng_temp
DW_D_FL_MK_PRMTN_EXCH_SL_01.sql	fl_mk_prmtn_exch_sl
DW_D_FL_MK_PRMTN_EXCH_SL_01.sql	fl_sl_exch_sl
DW_D_FL_MK_PRMTN_EXCH_SL_01.sql	fl_sl_prod_dc
DW_D_FL_MK_PRMTN_EXCH_SL_01.sql	temp_mk_dc
DW_D_FL_MK_PRMTN_EXCH_SL_01.sql	temp_mk_prestat
